Process,Material,Baseline,Minimum ,Maximum,Std_Dev
Feedstock supply logistics,Steam,0,0,0,0
Feedstock supply logistics,AcetateSOR,0.249605815,0.136285899,0.472535481,0.073476983
Feedstock supply logistics,AshSOR,0.873847267,0.284884982,1.948271351,0.367664035
Feedstock supply logistics,CelluloseSOR,4.062091516,2.039032077,7.576423484,1.182359044
Feedstock supply logistics,ExtractiveSOR,1.187632707,7.63E-09,4.347929977,0.9582275
Feedstock supply logistics,HemicelluloseSO,2.600222654,1.320830257,4.773023341,0.754287671
Feedstock supply logistics,LigninSOR,1.874241845,0.931265964,4.464196194,0.671051459
Feedstock supply logistics,ProteinsSOR,0.498077058,0.271952317,0.942923074,0.14661998
Feedstock supply logistics,Water,7.563812591,4.129875744,14.31925705,2.226575245
Feedstock supply logistics,Cost,0.978874302,0.38694623,1.957067959,0.335346074
Feedstock handling,Steam,0,0,0,0
Feedstock handling,Std Power,0.366820612,0.200285706,0.694437966,0.107864067
Feedstock handling,Operator,0.000214397,0.000117062,0.000405881,6.31E-05
Feedstock handling,Cost,0.085852709,0.046875966,0.162530072,0.025260026
Pretreatment,Steam,0,0,0,0
Pretreatment,Steam 226C,0.918234898,0.503234757,1.797591282,0.276559693
Pretreatment,Std Power,0.098697035,0.058026506,0.191186049,0.02930811
Pretreatment,ChLy,0.159478246,0.032436667,0.909054529,0.186030748
Pretreatment,Sulfuric Acid,0.882698451,0.48788903,1.547170084,0.257347263
Pretreatment,Water,8.737852905,4.808921074,16.21173351,2.5359924
Pretreatment,Operator,0.000171518,9.36E-05,0.000324705,5.05E-05
Pretreatment,Cost,0.484329063,0.181940543,2.536927465,0.520900246
Hydrolysis and fermentation,Steam,0,0,0,0
Hydrolysis and fermentation,Cooling Water,491.9224437,275.3330125,1010.996678,200.8503973
Hydrolysis and fermentation,Steam 180C,0.694912805,0.398084287,1.288280245,0.19828723
Hydrolysis and fermentation,Std Power,5.585780687,3.104083057,13.12883338,2.73264021
Hydrolysis and fermentation,Corn Liquor,0.141610019,0.078930992,0.259038068,0.040441243
Hydrolysis and fermentation,Diammonium phos,0.01793342,0.009979344,0.032936976,0.005141153
Hydrolysis and fermentation,Hydrolase,0.082899827,0.021682914,0.126803463,0.019725847
Hydrolysis and fermentation,Water,15.80884903,9.201073887,29.78313647,4.580247177
Hydrolysis and fermentation,Air,201.449882,101.318681,819.450873,147.416759
Hydrolysis and fermentation,Inoculum,0.031461478,0.017178109,0.059560571,0.009261381
Hydrolysis and fermentation,Operator,0.000492126,0.000268303,0.000931033,0.000144773
Hydrolysis and fermentation,Cost,0.987042287,0.500879117,1.838385937,0.319374884
Recovery and separation,Steam,0,0,0,0
Recovery and separation,Cooling Water,3397.442196,1887.138621,6250.112899,971.726231
Recovery and separation,Steam 226C,0.010434025,0.010278902,0.013594185,0.000657492
Recovery and separation,Steam 180C,9.58791933,5.310361252,17.65275605,2.750713055
Recovery and separation,Steam330C,20.68895698,11.47345277,38.24753458,5.933216376
Recovery and separation,Std Power,0.13288545,0.073891598,0.246296937,0.037951979
Recovery and separation,Operator,0.000371622,0.000202907,0.000703528,0.000109395
Recovery and separation,Cost,0.689335687,0.384543648,1.283817724,0.196559783
Hydrogenation,Steam,0,0,0,0
Hydrogenation,Cooling Water,4.05293461,3.875386876,4.324135122,0.100336982
Hydrogenation,Chilled Water,22.72761409,22.7261877,22.73028625,0.000912046
Hydrogenation,CoolingWater25C,0.62063341,0.619527358,0.621219562,0.000377073
Hydrogenation,Steam 180C,0.154919966,0.154918628,0.154922438,8.47E-07
Hydrogenation,Std Power,0.009934202,0.007131316,0.01422953,0.001586326
Hydrogenation,Cyclohexane,0.004307744,0.004307742,0.004307747,1.07E-09
Hydrogenation,Hydrogen,0.018142916,0.018142688,0.018143032,7.67E-08
Hydrogenation,Pd/AC Catalyst,0.000326599,0.000326566,0.000326605,1.61E-08
Hydrogenation,Trifluoroacetic,0.027955318,0.027955303,0.027955335,6.91E-09
Hydrogenation,Operator,0.000675352,0.000368745,0.001278526,0.000198805
Hydrogenation,Cost,0.202443926,0.170030645,0.248264126,0.018413567
Wastewater treatment,Steam,0,0,0,0
Wastewater treatment,Steam 180C,0.768561929,0.432409094,1.382514223,0.216815414
Wastewater treatment,Std Power,0.407784912,0.226629408,0.759944903,0.117937416
Wastewater treatment,Water,35.94671316,19.6270673,68.05168947,10.58170872
Wastewater treatment,Air,32.50392091,17.74728722,61.53404687,9.568246806
Wastewater treatment,CIP2,0.060031251,0.032777333,0.113646776,0.017671524
Wastewater treatment,WWT nutrients,0.007503906,0.004097167,0.014205847,0.002208941
Wastewater treatment,Operator,0.000857589,0.000468248,0.001623525,0.00025245
Wastewater treatment,Cost,0.237326988,0.136815345,0.443449941,0.068689774
Lignin utilization,Steam,0,0,0,0
Lignin utilization,CoolingWater25C,1251.599464,635.5611537,2422.520511,392.1933075
Lignin utilization,Std Power,2.14975122,1.095249947,4.155268781,0.671027241
Lignin utilization,Methane,1.050546894,0.573603336,1.98881858,0.309251674
Lignin utilization,Water,96.232425,52.54333751,182.1801919,28.33440445
Lignin utilization,Air,397.9171479,217.2645551,753.3076548,117.1356985
Lignin utilization,Operator,0.000385915,0.000210711,0.000730586,0.000113603
Lignin utilization,Cost,0.675183262,0.358469839,1.290835809,0.202989615
Credits,electricity_generated,9.240216603,4.682231627,17.89559296,2.900960808
