Process,Material,Baseline,Minimum ,Maximum,Std_Dev
Feedstock supply logistics,Steam,0.000,0.000,0.000,0.000
Feedstock supply logistics,AcetateSOR,0.207,0.075,0.366,0.044
Feedstock supply logistics,AshSOR,0.723,0.073,3.127,0.303
Feedstock supply logistics,CelluloseSOR,3.361,1.353,5.842,0.667
Feedstock supply logistics,ExtractiveSOR,0.983,0.000,4.984,0.670
Feedstock supply logistics,HemicelluloseSO,2.152,0.707,4.101,0.461
Feedstock supply logistics,LigninSOR,1.551,0.438,3.156,0.375
Feedstock supply logistics,Water,1.043,0.378,1.850,0.220
Feedstock supply logistics,Operator,0.000,0.000,0.000,0.000
Feedstock supply logistics,Cost,0.956,0.343,1.646,0.204
Feedstock handling,Steam,0.000,0.000,0.000,0.000
Feedstock handling,Steam 226C,0.000,0.000,0.000,0.000
Feedstock handling,Steam 180C,0.000,0.000,0.000,0.000
Feedstock handling,Std Power,0.072,0.027,0.128,0.015
Feedstock handling,Operator,0.000,0.000,0.000,0.000
Feedstock handling,Cost,0.035,0.013,0.061,0.007
Pretreatment,Steam,0.000,0.000,0.000,0.000
Pretreatment,Steam 226C,0.744,0.199,1.429,0.167
Pretreatment,Steam 180C,0.000,0.000,0.000,0.000
Pretreatment,Std Power,0.082,0.031,0.142,0.017
Pretreatment,ChLy,0.097,0.000,0.815,0.133
Pretreatment,Sulfuric Acid,0.730,0.249,1.487,0.169
Pretreatment,Water,12.114,4.718,21.979,2.569
Pretreatment,Air,0.000,0.000,0.000,0.000
Pretreatment,CIP2,0.000,0.000,0.000,0.000
Pretreatment,Inoculum,0.000,0.000,0.000,0.000
Pretreatment,NaOH (50% w/w),0.000,0.000,0.000,0.000
Pretreatment,WWT nutrients,0.000,0.000,0.000,0.000
Pretreatment,Operator,0.000,0.000,0.000,0.000
Pretreatment,Cost,0.332,0.036,3.310,0.363
Hydrolysis and fermentation,Steam,0.000,0.000,0.000,0.000
Hydrolysis and fermentation,Cooling Water,214.646,55.120,595.346,60.766
Hydrolysis and fermentation,Steam 226C,0.000,0.000,0.000,0.000
Hydrolysis and fermentation,Steam 180C,0.573,0.219,1.100,0.125
Hydrolysis and fermentation,Std Power,5.902,1.564,18.455,1.849
Hydrolysis and fermentation,Corn Liquor,0.117,0.045,0.213,0.025
Hydrolysis and fermentation,Diammonium phos,0.015,0.006,0.027,0.003
Hydrolysis and fermentation,Hydrolase,0.069,0.010,0.102,0.014
Hydrolysis and fermentation,Water,13.029,5.051,24.433,2.826
Hydrolysis and fermentation,Air,218.791,49.171,670.150,86.662
Hydrolysis and fermentation,CIP2,0.000,0.000,0.000,0.000
Hydrolysis and fermentation,Inoculum,0.026,0.009,0.046,0.005
Hydrolysis and fermentation,NaOH (50% w/w),0.000,0.000,0.000,0.000
Hydrolysis and fermentation,WWT nutrients,0.000,0.000,0.000,0.000
Hydrolysis and fermentation,Operator,0.000,0.000,0.001,0.000
Hydrolysis and fermentation,Cost,0.917,0.257,2.029,0.201
Recovery and separation,Steam,0.000,0.000,0.000,0.000
Recovery and separation,Cooling Water,1373.648,541.144,2473.261,285.995
Recovery and separation,Steam 226C,26.958,10.293,49.365,5.739
Recovery and separation,Steam 180C,0.927,0.644,1.295,0.098
Recovery and separation,Std Power,0.080,0.031,0.149,0.017
Recovery and separation,Operator,0.000,0.000,0.001,0.000
Recovery and separation,Cost,0.525,0.206,0.983,0.111
Wastewater treatment,Steam,0.000,0.000,0.000,0.000
Wastewater treatment,Steam 180C,0.262,0.071,0.433,0.051
Wastewater treatment,Std Power,0.325,0.124,0.596,0.070
Wastewater treatment,Water,18.817,6.819,33.379,3.969
Wastewater treatment,Air,26.897,9.747,47.711,5.673
Wastewater treatment,CIP2,0.050,0.018,0.088,0.010
Wastewater treatment,Inoculum,0.000,0.000,0.000,0.000
Wastewater treatment,NaOH (50% w/w),0.000,0.000,0.000,0.000
Wastewater treatment,WWT nutrients,0.006,0.002,0.011,0.001
Wastewater treatment,Operator,0.001,0.000,0.001,0.000
Wastewater treatment,Cost,0.182,0.066,0.335,0.039
Lignin utilization,Steam,0.000,0.000,0.000,0.000
Lignin utilization,CoolingWater25C,665.418,239.333,1112.432,135.245
Lignin utilization,Std Power,0.355,0.130,0.597,0.073
Lignin utilization,Methane,1.863,0.675,3.304,0.393
Lignin utilization,Water,73.543,27.313,133.694,15.875
Lignin utilization,Air,329.273,119.323,584.081,69.445
Lignin utilization,Operator,0.000,0.000,0.001,0.000
Lignin utilization,Cost,0.681,0.232,1.133,0.137
Credits,electricity_generated,6.98,2.51,11.66,1.42
