products,r
atrazine.kg,0.001999927
cellulase.kg,0
lime.kg,2.99E-04
caco3.kg,1.42E-03
h2so4.kg,1.97E-05
hcl.kg,0
naoh.kg,0
csl.kg,0
dap.kg,0
glucose.kg,0.00E+00
k2o.kg,8.78E-05
ammonia.kg,0.017995444
n.kg,1.27E-03
p2o5.kg,3.63E-05
yeast.kg,0
zeolite.kg,0
triethylaluminum.kg,0
char.MJ,0
coal.MJ,2.24E-03
diesel.MJ,3.94E-04
rfo.MJ,4.46E-05
refgas.MJ,0
ethylene.MJ,0
propene.MJ,0.00E+00
acetone.kg,0.00E+00
crudeoil.MJ,5.42E-05
petrobutanol.MJ,0
petrohexanol.MJ,0
electricity.US.kWh,0
electricity.NG.kWh,0
electricity.NGCC.kWh,0
electricity.Coal.kWh,0
electricity.Lignin.kWh,0
electricity.Renewables.kWh,0
electricity.WECC.kWh,0
electricity.MRO.kWh,0
electricity.SPP.kWh,0
electricity.TRE.kWh,0.00E+00
electricity.SERC.kWh,0.00E+00
electricity.RFC.kWh,0.00E+00
electricity.NPCC.kWh,0.00E+00
electricity.FRCC.kWh,0.00E+00
gasoline.MJ,2.07E-04
h2.kg,1.62E-03
naturalgas.MJ,3.32E-04
uranium.kg,3.58E-04
farmedmiscanthus.kg,4.16E-06
farmedstover.kg,5.15E-06
farmedstraw.kg,5.15E-06
farmedbrazilcane.kg,0.00E+00
farmequip.NA,2.06E-05
steel_domestic.kg,7.01E-05
steel_canadian.kg,7.01E-05
steel_chinese.kg,7.01006E-05
concrete.cu.m,0
cement.kg,0
flyash.kg,0
silica.kg,0.00E+00
ligninpellets.MJ,0
flatbedtruck.mt_km,0
tankertruck.mt_km,0
gaspipeline.mt_km,0
liquidpipeline.mt_km,0
rail.mt_km,0.00E+00
barge.mt_km,0.00E+00
marinetanker.mt_km,4.86E-05
