products,r
atrazine.kg,3.24E-05
atrazine_brazil.kg,0
glyphosate.kg,0
insecticide.kg,0
insecticide_brazil.kg,0
cellulase.kg,0
alpha_amylase.kg,0
gluco_amylase.kg,0
lime.kg,6.02E-07
caco3.kg,1.06E-06
caco3_brazil.kg,0
h2so4.kg,4.55E-08
hcl.kg,0
naoh.kg,1.47E-05
csl.kg,0
dap.kg,7.72E-07
glucose.kg,0
corn_starch.kg,0
molasses.kg,0
k2o.kg,2.35E-06
k2o_brazil.kg,0
ammonia.kg,0
ammonia_brazil.kg,0
n.kg,0
urea.kg,0
urea_brazil.kg,0
sbm.kg,0
p2o5.kg,1.30E-06
p.kg,0
yeast.kg,0
ddgs.kg,0
corn_oil.kg,0
glycerin.kg,0
nacl.kg,0
zeolite.kg,0
triethylaluminum.kg,0
char.MJ,0
coal.MJ,5.05E-11
diesel.MJ,1.63E-07
rfo.MJ,1.36E-08
refgas.MJ,0
ethylene.MJ,0
propene.MJ,0
acetone.kg,0
crudeoil.MJ,1.42E-08
petrobutanol.MJ,0
petrohexanol.MJ,0
electricity.US.kWh,8.20E-06
electricity.NG.kWh,9.06E-07
electricity.NGCC.kWh,7.25E-07
electricity.Coal.kWh,1.61E-05
electricity.Lignin.kWh,0
electricity.Renewables.kWh,0
electricity.WECC.kWh,5.76E-06
electricity.MRO.kWh,1.26E-05
electricity.SPP.kWh,1.09E-05
electricity.TRE.kWh,5.94E-06
electricity.SERC.kWh,8.82E-06
electricity.RFC.kWh,1.02E-05
electricity.NPCC.kWh,4.39E-06
electricity.FRCC.kWh,6.14E-06
gasoline.MJ,1.63E-07
h2.kg,0.00004
naturalgas.MJ,1.74E-08
uranium.kg,0.001218548
farmedmiscanthus.kg,0
farmedstover.kg,0
farmedstraw.kg,0
farmedbrazilcane.kg,0
farmequip.NA,3.53E-09
steel_domestic.kg,5.87E-06
steel_canadian.kg,5.87E-06
steel_chinese.kg,5.87E-06
concrete.cu.m,0
cement.kg,0
flyash.kg,0
silica.kg,0
ligninpellets.MJ,0
flatbedtruck.mt_km,0
tankertruck.mt_km,0
gaspipeline.mt_km,0
liquidpipeline.mt_km,0
rail.mt_km,0
barge.mt_km,0
marinetanker.mt_km,0
heavytruck.china.mt_km,0
rail.china.mt_km,0
corn.bushel,0
butadiene.kg,0
corn_grain_ethanol.MJ,0
sugarcane_ethanol.MJ,0
corn_grain_ethanol_rolledup.MJ,0
sugarcane_ethanol_rolledup.MJ,0
corn_stover_ethanol_rolledup.MJ,0
butadiene_via_butane.kg,0
butane.MJ,0
o2.kg,0
methanol.kg,0.00015
ethylene_oxide.kg,0
lpg.kg,0
glyoxal.kg,0
bromine.kg,0
manganese.kg,0
trimethylamine.kg,0
manganese_sulfate.kg,0.00E+00
1-methylimidazole.kg,0
1-bromoalkane.kg,0
ammo.chloride.kg,0
ethyl.acetate.kg,0
etoh.ethylene.kg,0
acetic.acid.kg,0
ammonium.sulfate.kg,0
citric.acid.kg,0
phosphoric.acid.kg,0
lysine.us.kg,0
lysine.china.kg,0
electricity.china.kWh,0.0000135
cholinium.hydroxide.kg,0
cholinium.lysinate.kg,0
corn.stover.kg,0
switchgrass.kg,0
ethylene.glycol.kg,0
methylamine.kg,0
n_butanol.kg,0
1_chloroethane.kg,0
t_butanol.kg,0
1_chlorobutane.kg,0
formaldehyde.kg,0
meim.kg,0
emimcl.kg,0
emimaco.kg,0
corn.stover.transportation.kg,0
switchgrass.transportation.kg,0
cs.ethanol.chly.production.kg,0
sg.ethanol.chly.production.kg,0
cs.ethanol.emimoac.production.kg,0
sg.ethanol.emimoac.production.kg,0
cs.ethanol.chly.distribution.kg,0
sg.ethanol.chly.distribution.kg,0
sorghum.kg,0
inoculum.kg,0
emim_acetate.kg,0
