products,r
atrazine.kg,0.028450808
cellulase.kg,0
lime.kg,0.01176701
caco3.kg,0.021599768
h2so4.kg,5.63E-05
hcl.kg,0
naoh.kg,0
csl.kg,0
dap.kg,0
glucose.kg,0
k2o.kg,0.00109979
ammonia.kg,0
n.kg,0.006703697
p2o5.kg,0.00106339
yeast.kg,0
zeolite.kg,0
triethylaluminum.kg,0
char.MJ,0
coal.MJ,4.53E-04
diesel.MJ,1.19E-03
rfo.MJ,1.77E-04
refgas.MJ,0
ethylene.MJ,0
propene.MJ,0
acetone.kg,0
crudeoil.MJ,1.55E-04
petrobutanol.MJ,0
petrohexanol.MJ,0
electricity.US.kWh,0.004891819
electricity.NG.kWh,0.002046036
electricity.NGCC.kWh,0.001636828
electricity.Coal.kWh,0.009112396
electricity.Lignin.kWh,0
electricity.Renewables.kWh,0
electricity.WECC.kWh,0.00486347
electricity.MRO.kWh,0.009618339
electricity.SPP.kWh,0.008486975
electricity.TRE.kWh,0.003142436
electricity.SERC.kWh,0.004098033
electricity.RFC.kWh,0.005298308
electricity.NPCC.kWh,0.002025028
electricity.FRCC.kWh,0.004282959
gasoline.MJ,6.24E-04
h2.kg,0.003324324
naturalgas.MJ,9.47E-04
uranium.kg,0.001022558
farmedmiscanthus.kg,1.11E-03
farmedstover.kg,1.37E-03
farmedstraw.kg,1.37E-03
farmedbrazilcane.kg,0
farmequip.NA,1.04E-04
steel_domestic.kg,0.000323097
steel_canadian.kg,0.000323097
steel_chinese.kg,0.000323097
concrete.cu.m,0
cement.kg,0
flyash.kg,0
silica.kg,0
ligninpellets.MJ,0
flatbedtruck.mt_km,7.73E-04
tankertruck.mt_km,5.29E-04
gaspipeline.mt_km,0
liquidpipeline.mt_km,0
rail.mt_km,2.43E-04
barge.mt_km,1.55E-04
marinetanker.mt_km,4.57E-04
