products,r
atrazine.kg,0.000227291
cellulase.kg,0
lime.kg,0.00027941
caco3.kg,9.67E-06
h2so4.kg,0.022727414
hcl.kg,0
naoh.kg,0
csl.kg,0
dap.kg,0
glucose.kg,0.00E+00
k2o.kg,6.04E-07
ammonia.kg,6.56E-05
n.kg,1.10E-05
p2o5.kg,2.34E-07
yeast.kg,0
zeolite.kg,0
triethylaluminum.kg,0.00E+00
char.MJ,0.00E+00
coal.MJ,3.50E-06
diesel.MJ,4.02E-03
rfo.MJ,3.18E-07
refgas.MJ,0
ethylene.MJ,0
propene.MJ,0.00E+00
acetone.kg,0.00E+00
crudeoil.MJ,3.86986E-07
petrobutanol.MJ,0
petrohexanol.MJ,0
electricity.US.kWh,0.013438111
electricity.NG.kWh,0.000550201
electricity.NGCC.kWh,0.000440161
electricity.Coal.kWh,0.028206212
electricity.Lignin.kWh,0
electricity.Renewables.kWh,0
electricity.WECC.kWh,0.00331733
electricity.MRO.kWh,1.88E-02
electricity.SPP.kWh,1.35E-02
electricity.TRE.kWh,9.78E-03
electricity.SERC.kWh,1.43E-02
electricity.RFC.kWh,0.024226194
electricity.NPCC.kWh,4.58E-03
electricity.FRCC.kWh,8.26E-03
gasoline.MJ,2.12E-03
h2.kg,2.57E-03
naturalgas.MJ,2.37E-06
uranium.kg,2.56E-06
farmedmiscanthus.kg,0
farmedstover.kg,0
farmedstraw.kg,0.00E+00
farmedbrazilcane.kg,0.00E+00
farmequip.NA,1.46E-07
steel_domestic.kg,4.04E-06
steel_canadian.kg,4.04E-06
steel_chinese.kg,4.04E-06
concrete.cu.m,0.00E+00
cement.kg,0.00E+00
flyash.kg,0.00E+00
silica.kg,0.00E+00
ligninpellets.MJ,0.00E+00
flatbedtruck.mt_km,8.59E-05
tankertruck.mt_km,5.87416E-05
gaspipeline.mt_km,0.00E+00
liquidpipeline.mt_km,0.00E+00
rail.mt_km,2.70E-05
barge.mt_km,1.72E-05
marinetanker.mt_km,1.52671E-05
