products,r
atrazine.kg,0
atrazine_brazil.kg,0
glyphosate.kg,0
insecticide.kg,0
insecticide_brazil.kg,0
cellulase.kg,0
alpha_amylase.kg,0
gluco_amylase.kg,0
lime.kg,0
caco3.kg,0
caco3_brazil.kg,0
h2so4.kg,0
hcl.kg,0
naoh.kg,0
csl.kg,0
dap.kg,0
glucose.kg,0
corn_starch.kg,0
molasses.kg,0
k2o.kg,0
k2o_brazil.kg,0
ammonia.kg,11
ammonia_brazil.kg,0
n.kg,0
urea.kg,0
urea_brazil.kg,0
sbm.kg,0
p2o5.kg,0
p.kg,0
yeast.kg,0
ddgs.kg,0
corn_oil.kg,0
glycerin.kg,0
nacl.kg,0
zeolite.kg,0
triethylaluminum.kg,0
char.MJ,0
coal.MJ,0
diesel.MJ,0.155525
rfo.MJ,0
refgas.MJ,0
ethylene.MJ,0
propene.MJ,0
acetone.kg,0
crudeoil.MJ,0
petrobutanol.MJ,0
petrohexanol.MJ,0
electricity.US.kWh,2.052
electricity.NG.kWh,0
electricity.NGCC.kWh,0
electricity.Coal.kWh,0
electricity.Lignin.kWh,0
electricity.Renewables.kWh,0
electricity.WECC.kWh,1.872
electricity.MRO.kWh,0
electricity.SPP.kWh,0
electricity.TRE.kWh,0
electricity.SERC.kWh,0
electricity.RFC.kWh,0
electricity.NPCC.kWh,0
electricity.FRCC.kWh,0
gasoline.MJ,0.1555225
h2.kg,5.6
naturalgas.MJ,0.009
uranium.kg,0
farmedmiscanthus.kg,0
farmedstover.kg,0
farmedstraw.kg,0
farmedbrazilcane.kg,0
farmequip.NA,0
steel_domestic.kg,0
steel_canadian.kg,0
steel_chinese.kg,0
concrete.cu.m,0
cement.kg,0
flyash.kg,0
silica.kg,0
ligninpellets.MJ,0
flatbedtruck.mt_km,0
tankertruck.mt_km,0
gaspipeline.mt_km,0
liquidpipeline.mt_km,0
rail.mt_km,0
barge.mt_km,0
marinetanker.mt_km,0
corn.bushel,0
butadiene.kg,0
corn_grain_ethanol.MJ,0
sugarcane_ethanol.MJ,0
corn_grain_ethanol_rolledup.MJ,0
sugarcane_ethanol_rolledup.MJ,0
corn_stover_ethanol_rolledup.MJ,0
butadiene_via_butane.kg,0
butane.MJ,0
