products,cost
atrazine.kg,18
atrazine_brazil.kg,0
glyphosate.kg,0
insecticide.kg,18
insecticide_brazil.kg,0
cellulase.kg,0
alpha_amylase.kg,0
gluco_amylase.kg,0
lime.kg,0.74
caco3.kg,0
caco3_brazil.kg,0
h2so4.kg,66
hcl.kg,16.7
naoh.kg,16.7
csl.kg,0
dap.kg,0
glucose.kg,0
corn_starch.kg,0
molasses.kg,0
k2o.kg,18.2
k2o_brazil.kg,0
ammonia.kg,141
ammonia_brazil.kg,0
n.kg,18.2
urea.kg,0
urea_brazil.kg,0
sbm.kg,0
p2o5.kg,282
p.kg,0
yeast.kg,0
ddgs.kg,0
corn_oil.kg,0
glycerin.kg,0
nacl.kg,17
zeolite.kg,0
triethylaluminum.kg,17
char.MJ,0
coal.MJ,0.0573
diesel.MJ,0.159
rfo.MJ,0.0409
refgas.MJ,0
ethylene.MJ,0
propene.MJ,0
acetone.kg,0
crudeoil.MJ,0.0755
petrobutanol.MJ,0
petrohexanol.MJ,0
electricity.US.kWh,3.3
electricity.NG.kWh,3.32
electricity.NGCC.kWh,3.3
electricity.Coal.kWh,3.88
electricity.Lignin.kWh,0
electricity.Renewables.kWh,0
electricity.WECC.kWh,1.805054152
electricity.MRO.kWh,6.498194946
electricity.SPP.kWh,3.971119134
electricity.TRE.kWh,6.137184116
electricity.SERC.kWh,5.776173285
electricity.RFC.kWh,5.054151625
electricity.NPCC.kWh,4.332129964
electricity.FRCC.kWh,2.74368231
gasoline.MJ,0
h2.kg,0
naturalgas.MJ,0
uranium.kg,0
farmedmiscanthus.kg,0
farmedstover.kg,0
farmedstraw.kg,0
farmedbrazilcane.kg,0
farmequip.NA,0
steel_domestic.kg,0
steel_canadian.kg,0
steel_chinese.kg,0
concrete.cu.m,0
cement.kg,0
flyash.kg,0
silica.kg,0
ligninpellets.MJ,0
flatbedtruck.mt_km,0
tankertruck.mt_km,0
gaspipeline.mt_km,0
liquidpipeline.mt_km,0
rail.mt_km,0
barge.mt_km,0
marinetanker.mt_km,0
heavytruck.china.mt_km,0
rail.china.mt_km,0
corn.bushel,0
butadiene.kg,0
corn_grain_ethanol.MJ,0
sugarcane_ethanol.MJ,0
corn_grain_ethanol_rolledup.MJ,0
sugarcane_ethanol_rolledup.MJ,0
corn_stover_ethanol_rolledup.MJ,0
butadiene_via_butane.kg,0
butane.MJ,0
process.water.m3,0
o2.kg,0
methanol.kg,5.39E-04
ethylene_oxide.kg,7.57E-04
lpg.kg,0
glyoxal.kg,0
bromine.kg,0
manganese.kg,0
trimethylamine.kg,0.024
manganese_sulfate.kg,0.024
1-methylimidazole.kg,2.40E-02
1-bromoalkane.kg,2.40E-02
ammo.chloride.kg,2.40E-02
ethyl.acetate.kg,2.40E-02
etoh.ethylene.kg,0.00E+00
acetic.acid.kg,0.00E+00
ammonium.sulfate.kg,0
citric.acid.kg,17
phosphoric.acid.kg,280
lysine.us.kg,0.072
lysine.china.kg,0.072
electricity.china.kWh,0
cholinium.hydroxide.kg,0.56
cholinium.lysinate.kg,0
corn.stover.kg,0
switchgrass.kg,0
ethylene.glycol.kg,0
methylamine.kg,0
n_butanol.kg,0
1_chloroethane.kg,0
t_butanol.kg,0
1_chlorobutane.kg,0
formaldehyde.kg,0
meim.kg,0
emimcl.kg,0
emimaco.kg,0
corn.stover.transportation.kg,0
switchgrass.transportation.kg,0
cs.ethanol.chly.production.kg,0
sg.ethanol.chly.production.kg,0
cs.ethanol.emimoac.production.kg,0
sg.ethanol.emimoac.production.kg,0
cs.ethanol.chly.distribution.kg,0
sg.ethanol.chly.distribution.kg,0
sorghum.kg,0
inoculum.kg,0
emim_acetate.kg,0
