Alias,Fuel
ethanol,ethanol
etoh,ethanol
Ethanol,ethanol
EtOH,ethanol
butanol,n_butanol
BuOH,n_butanol
Butanol,n_butanol
n_butanol,n_butanol
n_buoh,n_butanol
n-butanol,n_butanol
n-buoh,n_butanol
n_Butanol,n_butanol
n_BuOH,n_butanol
n-Butanol,n_butanol
n-BuOH,n_butanol
iso_butanol,iso_butanol
iso_buoh,iso_butanol
iso-butanol,iso_butanol
iso-buoh,iso_butanol
iso_Butanol,iso_butanol
iso_BuOH,iso_butanol
iso-Butanol,iso_butanol
iso-BuOH,iso_butanol
Iso_butanol,iso_butanol
Iso_buoh,iso_butanol
Iso-butanol,iso_butanol
Iso-buoh,iso_butanol
Iso_Butanol,iso_butanol
Iso_BuOH,iso_butanol
Iso-Butanol,iso_butanol
Iso-BuOH,iso_butanol
hexanol,hexanol
Hexanol,hexanol
octanol,octanol
Octanol,octanol
decanol,decanol
Decanol,decanol
methanol,methanol
Methanol,methanol
MeOH,methanol
meoh,methanol
gasoline,gasoline
Gasoline,gasoline
diesel,diesel
Diesel,diesel
distillate,diesel
Distillate,diesel
dfo,diesel
DFO,diesel
jet,jet
Jet,jet
jetfuel,jet
lignite,lignite
Lignite,lignite
anthracite,anthracite
Anthracite,anthracite
coal,coal
Coal,coal
bituminous,bituminous
Bituminous,bituminous
bituminouscoal,bituminous
Bituminouscoal,bituminous
subbituminous,subbituminous
Subbituminous,subbituminous
subbituminouscoal,subbituminous
Subbituminouscoal,subbituminous
wood,wood
Wood,wood
herbaceous,herbaceousbiomass
herbaceousbiomass,herbaceousbiomass
Herbaceous,herbaceousbiomass
Herbaceousbiomass,herbaceousbiomass
cornstover,cornstover
Cornstover,cornstover
stover,cornstover
Stover,cornstover
forestresidue,forestresidue
Forestresidue,forestresidue
forestryresidue,forestresidue
Forestryresidue,forestresidue
woodyresidue,forestresidue
Woodyresidue,forestresidue
bagasse,bagasse
Bagasse,bagasse
sugarcanebagasse,bagasse
Sugarcanebagasse,bagasse
canebagasse,bagasse
Canebagasse,bagasse
hydrogen,hydrogen
Hydrogen,hydrogen
h2,hydrogen
H2,hydrogen
naturalgas,naturalgas
Naturalgas,naturalgas
NaturalGas,naturalgas
NG,naturalgas
ng,naturalgas
rfo,rfo
RFO,rfo
residualfueloil,rfo
ResidualFuelOil,rfo
naphtha,naphtha
Naphtha,naphtha
refgas,refgas
Refinerygas,refgas
RefineryGas,refgas
propene,propene
Propene,propene
ethylene,ethylene
Ethylene,ethylene
crude,crude
Crude,crude
biochar,biochar
Biochar,biochar
char,biochar
Char,biochar
lignin,lignin
Lignin,lignin
lube,lube
Lube,lube
pao,lube
PAO,lube
lubricant,lube
Lubricant,lube
ethane,ethane
Ethane,ethane
pentane,pentane
Pentane,pentane
toluene,toluene
Toluene,toluene
xylene,xylene
Xylene,xylene
benzene,benzene
Benzene,benzene
naphthalene,naphthalene
Naphthalene,naphthalene
hexane,hexane
Hexane,hexane
butene,butene
Butene,butene
butylene,butene
Butylene,butene
butane,butane
Butane,butane
ethyne,ethyne
Ethyne,ethyne
acetylene,ethyne
Acetylene,ethyne
propylene,propylene
Propylene,propylene
acetone,acetone
Acetone,acetone
lpg,lpg
LPG,LPG
lng,lng
LNG,lng
dme,dme
DME,dme
fame,fame
FAME,fame
biodiesel,fame
Biodiesel,fame
ftdiesel,ftdiesel
f-t_diesel,ftdiesel
FTdiesel,ftdiesel
FTDiesel,ftdiesel
renewablediesel,renewablediesel
RenewableDiesel,renewablediesel
renewable_diesel,renewablediesel
Renewable_Diesel,renewablediesel
renewablegasoline,renewablegasoline
RenewableGasoline,renewablegasoline
renewable_gasoline,renewablegasoline
mtbe,mtbe
MTBE,mtbe
etbe,etbe
ETBE,etbe
tame,tame
TAME,tame
propane,propane
Propane,propane
petcoke,petcoke
Petcoke,petcoke
pet_coke,petcoke
petroleumcoke,petcoke
petroleum_coke,petcoke
stillgas,stillgas
still_gas,stillgas
Still_Gas,stillgas
octane,octane
Octane,octane
heptane,heptane
Heptane,heptane
ammonia,ammonia
Ammonia,ammonia
cumene,cumene
Cumene,cumene
butadiene,butadiene
13butadiene,butadiene
1_3_butadiene,butadiene
Butadiene,butadiene
acetaldehyde,acetaldehyde
Acetaldehyde,acetaldehyde
digestergas,digestergas
DigesterGas,digestergas
digester_gas,digestergas
Digester_Gas,digestergas
